,Аварийность,Газоснабжение,Год постройки,До Метро,Жилая,Комнаты,Кухня,Лифты,Мусоропровод,Общая,Описание,Отопление,Парковка,Подъезды,Построен,Район,Срок сдачи,Строительная серия,Тип дома,Тип жилья,Тип перекрытий,Тип продавца,Цена,Этаж,Хрефы
1126,Нет,Центральное,1975,⋅  6 мин. на транспорте,12 м²,"1-комн. квартира, 21,3 м²",5 м²,,,"21,3 м²",Квартира гостинного типа в обычном состоянии. Есть полноценный балкон.,Нет,,2,,мкр. Металлург,,,Кирпичный,Вторичка,Железобетонные,,1550000₽,3 из 5,https://samara.cian.ru/sale/flat/242308630/
1127,Нет,Центральное,1988,⋅  5 мин. на транспорте,14 м²,"1-комн. квартира, 27,4 м²","8,5 м²",Есть,Есть,"27,4 м²","Продаю 1-ком.кв. На полу линолеум, потолок натяжной, трубы, батареи, стояки все поменяно. Лоджия остеклена, ванна полноценная 1,8, стоят счетчики на воду. 1 собственник. Прямая продажа ключи могу отдать на сделке.",Центральное,,1,1988,мкр. Юнгородок,,,Кирпичный,Вторичка,Железобетонные,,1550000₽,5 из 9,https://samara.cian.ru/sale/flat/245528190/
1128,,,,NA,14 м²,"1-комн. квартира, 21 м²",,,,21 м²,"Продам 1-кв., ул. Воронежская/Ново-Вокзальная/ТЦ Империя, гостин.типа, S-21/14/5, состояние квартиры хорошее, окна ПВХ, не угловая, теплая, этаж высокий, на окнах решетки, с/у-совмещ., остается кух.гарнитур, шкаф-купе, кондиционер. Дом расположен во дворе, окна выходят на парковую зону. В шаговой доступности школа 48, детский сад. Прямая продажа. Ипотека-да!",,,,1979,"мкр. 7,8",,,,,,,1560000₽,1 из 9,https://samara.cian.ru/sale/flat/238698665/
1129,Нет,Центральное,1983,⋅  6 мин. на транспорте,"17,2 м²","1-комн. квартира, 30 м²","5,4 м²",Есть,Есть,30 м²,промышленный  район  юнгородок  гостинного типа пвх  окна  натяжной  потолок  есть  балкон  незаст.  ипотека  да  продажа  вот  с  санузле требует  косм.  ремонта  вот  звоните  чуть  торг,Центральное,Наземная,1,1976,мкр. Юнгородок,,,Кирпичный,Вторичка,Железобетонные,,1570000₽,4 из 9,https://samara.cian.ru/sale/flat/242366165/
1130,Нет,Центральное,1976,⋅  7 мин. на транспорте,18 м²,"1-комн. квартира, 30 м²",6 м²,,Есть,30 м²,кировский  район  восточный  поселок  хрущевка  с  евроремонтом крыша  сухая  новая  пустая  в  кухне  авх  окно  пол  ламинат  встр  кухня  новые  трубы  сантехника  ипотека  да бз  торга  садик  школа  рядом  во  хорошие  соседи,Центральное,,2,1976,мкр. Зубчаниновка,,,Блочный,Вторичка,Железобетонные,,1570000₽,5 из 5,https://samara.cian.ru/sale/flat/245472652/
1131,Нет,,1972,⋅  3 мин. на транспорте,"18,4 м²","1-комн. квартира, 24,5 м²",6 м²,,,"24,5 м²","Продается уютная квартира-студия.Малосемейка. Сделан современный ремонт, установлены пластиковые окна, заменены батареи. В квартире размещены встроенная кухня, в прихожей шкаф купе. Совмещенный санузел вмещает ванну, обогреватель для воды и унитаз. Низкие коммунальные платежи. В доме располагается пункт полиции. Рядом общественные остановки, парк Молодежный, спортивный центр Орбита, школа и д.сад, магазины. Один взрослый собственник. Подходят все виды ипотечных и социальных программ. Документы прошли правовую экспертизу. Торг.",,,3,1972,Ставропольская ул.,,,,Вторичка,,Опыт работы с 2002 года,1550000₽,5 из 5,https://samara.cian.ru/sale/flat/245435175/
1132,Нет,,,NA,18 м²,"1-комн. квартира, 30 м²",6 м²,,,30 м²,Окна пластиковые новые сантехника тоже новая соседи дружные подъезд чистый квартира тёплая светлая балкон 6м,,,,,мкр. Мехзавод,,,,Вторичка,,Собственник,1550000₽,3 из 5,https://samara.cian.ru/sale/flat/227889805/
1133,Нет,,,⋅  7 мин. пешком,14 м²,"1-комн. квартира, 39,3 м²","13,5 м²",Есть,Нет,"39,3 м²","Дом готов, сдача ноябрь 2020 года. В декабре собственникам отдают ключи. 5-ти этажный дом с лифтом (!). Отличная планировка, кухня-гостинная 13,5 м2 и спальня 14 м2. Высокое качество стройки, качественная стяжка и штукатурка, толщина стен 2,5 кирпича + облицовка. Высота потолков 3.1. До метро Юнгородок 5 минут пешком! Переуступка доли, регистрируем в Росеестре. Звоните, договоримся о просмотре. Цена ниже чем у застройщика.",,,,2020,мкр. Юнгородок,,,,Вторичка,,,1550000₽,4 из 5,https://samara.cian.ru/sale/flat/241557991/
1134,Нет,,,⋅  7 мин. пешком,"16,8 м²","1-комн. квартира, 39,2 м²","9,7 м²",,Нет,"39,2 м²","Состояние обычное, чистая, новые пластиковые окна, новые Счетчики, косметический ремонт, ипотека, Мат. Капитал возможны, собственник один, прямая продажа",,,,2002,мкр. Юнгородок,,,,Вторичка,,,1590000₽,7 из 11,https://samara.cian.ru/sale/flat/244658210/
1135,Нет,Центральное,1980,⋅  17 мин. пешком,17 м²,"1-комн. квартира, 30 м²",5 м²,Есть,Нет,30 м²,"Продаю 1 комнатную квартиру по адресу Каховская 6, 8 этаж 9 этажного дома. Площадь квартиры 30 м2, комната 17м2, кухня 5м2, без балкона. В квартире выполнен косметический ремонт, установлены окна ПВХ, новая сантехника, ванная отделана панелями, новые двери, ламинат, собственник 1 ипотека подходит",Центральное,,1,1980,Каховская ул.,,,Кирпичный,Вторичка,Смешанные,,1550000₽,8 из 9,https://samara.cian.ru/sale/flat/243582375/
1136,Нет,Центральное,1963,NA,18 м²,"1-комн. квартира, 33 м²",6 м²,,,33 м²,"Продаётся 1-комн. квартира. Состояние отличное, хороший ремонт, окна ПВХ, железная входная дверь. Остается кондиционер, мебель по договоренности. Очень теплая, уютная, светлая. Отличные соседи. Все необходимое рядом: школа, детский сад, магазины, остановка транспорта, во дворе детская площадка, спортивная площадка. Подходит любая форма оплаты. Возможен торг. Помощь в оформлении ипотеки под самый низкий процент. Материнский капитал.",Центральное,,3,1988,мкр. 116-й километр,,,Блочный,Вторичка,Железобетонные,,1550000₽,5 из 5,https://samara.cian.ru/sale/flat/216591648/
1137,Нет,Центральное,1960,NA,18 м²,"1-комн. квартира, 32 м²","5,7 м²",,,32 м²,"Срочно, по очень выгодной цене - продается очень отличная, уютная, теплая квартирка с частичным ремонтом. Во всей квартире установлены качественные пластиковые окна, заменены все батареи и все трубы, новая немецкая колонка Юнкерс,  металлическая входная дверь, на полу линолеум. Безвозмездно остается вся мебель: столы, диван, шкаф, холодильник. Светлая комната 18 кв.м. с двумя окнами, что позволяет разделить ее на две комнаты, кухня 5.7 кв. м., балкон застеклен (деревянными рамами). Окна квартиры выходят в тихий двор. В настоящее время во всем доме проведен капитальный ремонт с заменой всех труб и батарей во всех квартирах, в подъезде, подвале.  Чистый и ухоженный подъезд и двор. В собственности квартира более 15 лет, никто не проживает и не прописан. Два взрослых собственника. Ипотеку и мат.капитал рассматриваем. Оперативный показ в любое время по предварительной договоренности. Быстрый выход на сделку. Чистая срочная продажа, ключи, при полной оплате, отдадим на сделке.",Центральное,,3,,мкр. Металлург,,,Панельный,Вторичка,Железобетонные,,1560000₽,5 из 5,https://samara.cian.ru/sale/flat/244206108/
1138,,,,NA,,"1-комн. квартира, 30 м²",,,,30 м²,Поменины сантехника стоит счётчик на воду пластиковые окна соседи тихие,,,,,мкр. Мехзавод,,,Панельный,Вторичка,,Собственник,1550000₽,3 из 5,https://samara.cian.ru/sale/flat/226893704/
1139,Нет,Центральное,1971,NA,18 м²,"1-комн. квартира, 30 м²",6 м²,,Нет,30 м²,"Дом стоит внутри квартала, удален от проезжей части. Этаж высокий. Балкона нет. Окна выходят в тихое место. Не угловая. Школа, дет сад, магазины, супермаркеты рядом. Квартира требует ремонта. Есть пластиковые окна, железная дверь. Подъезд чистый, соседи хорошие. Ипотеку, сертификаты рассматриваем. Помощь в получении одобрения ипотечного кредита.  Один взрослый собственник, в собственности более 3х лет.",Центральное,,6,1971,мкр. Машстрой,,,Панельный,Вторичка,Железобетонные,,1550000₽,1 из 5,https://samara.cian.ru/sale/flat/243722542/
1140,Нет,Центральное,2013,NA,17 м²,"1-комн. квартира, 37,3 м²","9,5 м²",,,"37,3 м²","Прямая продажа от собственника.
1 комнатная полнометражная уютная квартира на 3 этаже, Самая удобная планировка на 2 стороны. Теплая, светлая. Общая площадь 37,4 м. Кухня 9,52м2. Комната 17м, коридор 6м.
В квартире ремонт, выровненные пол и стены. На полу линолеум плотный, светлый. Двери импортные, очень добротные, деревянные.
Свой  котел. Счетчики на все.
В комнате натяжной новый потолок. В остальных  панели пластиковые.
На кухне гарнитур остается. Плита новая, четырехкомфорочная.
Санузел раздельный. Все чисто. Отделка - панели. На полу плитка. Сантехника в отличном состоянии.
В окружении много социально-значимых объектов: Школа, детский садик, перед домом детская площадка,   продуктовые магазины (Магнит, Пятерочка,Мендаль и др), аптека, банк. Чистый подъезд. Хорошие соседи.Тихо.
Квартира полностью готова для проживания.
Прямая продажа, никто не прописан, на сделку хоть завтра.
Долгов нет. Собственник один взрослый.
Подскажу как приобрести любую квартиру без ипотеки, в рассрочку до 10 лет.",Котел/Квартирное отопление,,4,2013,мкр. Крутые ключи,,,Кирпичный,Вторичка,Железобетонные,,1555000₽,3 из 3,https://samara.cian.ru/sale/flat/242339194/
1141,Нет,Центральное,2013,NA,18 м²,"1-комн. квартира, 34 м²",12 м²,,,34 м²,"Жалнина, д. 19.   1-комнатная квартира с просторной кухней и комнатой! Супер-удачное расположение дома, для семьи  с детьми дошкольного и школьного возраста, а  так же  для любителей природы. Всё рядом! За домом школа, большая парковка. Д сады, ж/д станция  Ягодная, поликлиника, детские и спортивные площадки- в шаговой доступности!1-н взрослый собственник. Без долгов, без обременений, без перепланировок, к сделке готовы!",Котел/Квартирное отопление,,4,2013,мкр. Крутые ключи,,,Кирпичный,Вторичка,Железобетонные,,1570000₽,3 из 3,https://samara.cian.ru/sale/flat/228737964/
1142,Нет,Центральное,1975,NA,18 м²,"1-комн. квартира, 35 м²",11 м²,Есть,,35 м²,"Продам 1 комнатную квартиру  с ремонтом, окна пвх.Рядом школы,детские сады,поликлиника.",Центральное,,1,1975,"мкр. 13,14",,,Кирпичный,Вторичка,Деревянные,,1550000₽,1 из 9,https://samara.cian.ru/sale/flat/245697582/
1143,Нет,Центральное,1974,NA,18 м²,"1-комн. квартира, 30 м²",5 м²,Есть,,30 м²,"Продается 1-комнатная квартира, в хорошем состоянии, не угловая. Сделан косметический ремонт. Окна ПВХ. Входная дверь железная. Окна выходят во двор. Гостинка. Мебель всю оставляем. Есть кладовая. Не кто не прописан. Любой вид оплаты. Торг.",Центральное,,1,,мкр. Металлург,,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1600000₽,3 из 9,https://samara.cian.ru/sale/flat/245042960/
1144,Нет,Центральное,2014,NA,26 м²,"1-комн. квартира, 38 м²","9,8 м²",,,38 м²,"Продам квартиру на 2-ом этаже, по площади самая большая, на две стороны. Счётчики все новые , тёплый пол по всей квартире. Санузел раздельный. Адекватные соседи. Во дворе видеокамеры. Покажем квартиру в любое, для Вас удобное, время.",Котел/Квартирное отопление,,4,,мкр. Крутые ключи,,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1600000₽,2 из 3,https://samara.cian.ru/sale/flat/245673292/
1145,Нет,Центральное,1983,NA,16 м²,"1-комн. квартира, 22 м²",4 м²,,,22 м²,"Продаётся квартира имеется балкон, натяжные потолок, пластиковые окна, можно со всей мебелью и техникой. Рядом рынок Норд, ТЦ Победа, ТЦ ДиПорт. Возможна ипотека могу помочь с одобрением ипотеке.",Центральное,,2,,мкр. Западный поселок,,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1600000₽,2 из 5,https://samara.cian.ru/sale/flat/245526708/
1146,,,,NA,"15,1 м²","1-комн. квартира, 37,86 м²","8,1 м²",,,"37,86 м²","Продаю 1- комнатную квартиру 37,86/15,09/8,09 кв.м  в пос. Мехзавод, 1-й квартал, дом 58/ Московское шоссе,  23 км (ЖК Новая Самара).Застройщик Финстрой.
Сдача дома 4 квартал 2021 года.
Удобная планировка Жилая комната 15,09 кв.м, кухня 8,05 кв.м 
Лоджия -4,29 кв.м. Лоджия расположена со стороны кухни.
С/у совм.-3,8 кв.м.
Квартира с черновой отделкой.Стяжка пола.
Можно заказать предчистовую и чистовую отделку от застройщика.
Есть все  этажи.
Дом расположен в экологически чистом месте .Рядом лес.
В шаговой доступности школа и детский сад. Остановки общественного транспорта. Развитая инфраструктура.
Прямая продажа от застройщика. 
Поможем оформить ипотеку.",,,,,мкр. Красный пахарь,,,,Новостройка,,Агентство недвижимости,1638000₽,5 из 10,https://samara.cian.ru/sale/flat/241032801/
1147,Нет,Центральное,2014,NA,18 м²,"1-комн. квартира, 35,1 м²",7 м²,,,"35,1 м²","Продается 1-комнатная квартира с хорошим ремонтом рядом с ТЦ Мега. Экологически чистый район. Все документы в порядке, один собственник.Возможна ипотека, мат капитал. Отличный ремонт от собственника, делали для себя. В кухне плитка и теплый пол. Ванная: плитка, полы теплые. В комнате ламинат. Натяжные потолки во всей квартире. Электропроводка по ГОСТу с большим количеством розеток, сделана разводка под ТВ. Качественная входная дверь. В квартире остаётся диван, кухонный гарнитур, стиральная машина. Рядом детская площадка, магазины, школа искусств, детский сад, школа, МЕГА, транспортная развязка.",Котел/Квартирное отопление,,4,,мкр. Крутые ключи,,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1630000₽,1 из 3,https://samara.cian.ru/sale/flat/237364072/
1148,Нет,Центральное,1972,NA,18 м²,"1-комн. квартира, 32 м²",6 м²,,,32 м²,"п. Мехзавод. Продается 1 комнатная квартира в тихом и экологически чистом районе. Дом стоит не далеко от леса. В шаговой доступности школа, детский сад, магазины, стадион, во дворе современная детская площадка. Состояние квартиры жилое, большая лоджия на оба окна. Звоните, смотрите, покупайте! Рассмотрим различные формы оплаты. Возможен обмен на 2-х или 3-х комнатную квартиру с нашей доплатой. Поможем в одобрении и оформлении ипотеки.",Центральное,,6,,мкр. Мехзавод,,,Панельный,Вторичка,Железобетонные,Агентство недвижимости,1640000₽,4 из 5,https://samara.cian.ru/sale/flat/238324511/
1149,Нет,Центральное,1979,NA,,"1-комн. квартира, 34,7 м²",,"1 пасс., 1 груз.",,"34,7 м²","Продается 1-комнатная квартира в бывшем общежитии секционного типа по улице Рыльская, 44. Общая площадь 34,7кв.м. Площадь кухни-гостиной - 17,7 кв.м, спальня - 12 кв.м., сан.узел 3,5 кв.м, прихожая 2,5кв.м. 
Комнаты светлые, теплые. 
Имеется свой совмещённый сан.узел (ванная 170 см).
В квартире остаётся мебель, техника. 
Перепланировка узаконена. 
Бонус-общая кухня, прачечная комната, два больших балкона. 
Рядом институты, школа, детский садик, магазины Магнит и Пятерочка, торговые центры ДИПОРТ, ПОБЕДА.
Юридическое сопровождение по продаже данной квартиры ведет компания ""Этажи"".
 Доп. описание: санузел совмещенный, в доме есть: детская площадка, открытый двор, наземный паркинг, лифт пассажирский, лифт грузовой, косметический ремонт, также имеются: телефон, интернет, кабельное телевидение, домофон, железная дверь,  . Номер в базе: 4529317.",Центральное,,1,1979,мкр. Западный поселок,,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1600000₽,8 из 9,https://samara.cian.ru/sale/flat/240370792/
1150,,,,NA,17 м²,"1-комн. квартира, 30 м²",6 м²,,,30 м²,"Красноглинский район .П. Мехзавод. Квартал 5. Продается очень светлая теплая квартира в удовлетворительном состоянии. Удобное месторасположение дома. Рядом рынок,магазины,парк. Один взрослый собственник. Поможем в оформлении ипотеки.",,,,,мкр. Мехзавод,,,Кирпичный,Вторичка,,Агентство недвижимости,1600000₽,2 из 5,https://samara.cian.ru/sale/flat/238340709/
1151,Нет,Центральное,2014,NA,"17,8 м²","1-комн. квартира, 35,3 м²","11,1 м²",,,"35,3 м²","Продаю однокомнатную квартиру микрорайоне Крутые Ключи на ул. Мира 35. В квартире просторная кухня и ванна с теплым полом. Витражное окно в кухне и комнате делают квартиру еще светлее и уютней. Дом стоит во дворе, окна выходят в сторону Новой Самары. Наличие детских площадок, близость магазинов, сбербанка остановок общественного транспорта делают жизнь в этом микрорайоне еще комфортнее. Один взрослый собственник, обременений нет, никто не прописан, форма оплаты - любая. Показ в любое удобное для вас время.",Котел/Квартирное отопление,,4,,мкр. Крутые ключи,,,Кирпичный,Вторичка,Железобетонные,,1600000₽,3 из 3,https://samara.cian.ru/sale/flat/244724664/
1152,,,,NA,"14,9 м²","1-комн. квартира, 38,84 м²","8,8 м²",,,"38,84 м²","Продается однокомнатная квартира,в ЖК "" Новая Самара"". Квартира от застройщика.Корпус дома полностью из кирпича с соблюдением всех норм и правил.Дома жилого комплекса оборудованы собственными автономными крышными и пристроенными котельными. Водоснабжение и канализация в микрорайоне централизованные. Уже работают магазины шаговой доступности, в которых можно приобрести все необходимое, детский сад, салон-парикмахерская, кафе, кабинет нотариуса.Варианты оплаты:Ипотека, материнский капитал, рассрочка",,,,,мкр. Мехзавод,4 кв. 2021,,,Новостройка,,Агентство недвижимости,1625454₽,10 из 10,https://samara.cian.ru/sale/flat/244987556/
1153,Нет,Центральное,1972,NA,17 м²,"1-комн. квартира, 30 м²",5 м²,,,30 м²,"Продаем однокомнатную квартиру на 4 этаже 5-ти этажного дома. Уютная квартира, с хорошим ремонтом. Стены везде крашенные сейчас в серый/белый цвет, можно по вкусу перекрасить, двери новые. Металлическая входная дверь. На кухне фартук из плитки, новый кухонный гарнитур. Окна пластиковые. Натяжной потолок. Счетчики на воду, газ, электроэнергию. Балкон застеклен деревянными рамами. Квартира без вложений, заходи и живи. Возможно продажа с мебелью. Остановка общественного транспорта в 1 минуте ходьбы видно из окна. Хорошая транспортная развязка. Есть места для парковки машин и охраняемые парковки рядом. В пешей доступности Магнит, Магнит Семейный, Пятёрочка, Школа  86 с бассейном, два дет.сада, заправка. Любой вид оплаты.",Центральное,,11,,мкр. Зубчаниновка,,,Блочный,Вторичка,,Агентство недвижимости,1600000₽,4 из 5,https://samara.cian.ru/sale/flat/244358190/
1154,Нет,Центральное,1975,NA,12 м²,"1-комн. квартира, 22 м²",5 м²,Есть,Есть,22 м²,"Продаётся квартира-гостинка 4/9 этажного дома. Светлая, не угловая, очень тёплая квартира в хорошем состояние, заезжай и живи, окна деревянные, не сдавалась! Удобное расположение дома. Транспортная развязка позволяет оказаться в любой точке города, любой вид общественного транспорта.Развитая инфраструктура: рядом продуктовые магазины, аптеки, рынки, Сбербанк, почта детский сад и школа  во дворе детская площадка. В общем, все рядом, очень удобно. Балкон застеклен. Ипотека -да. Звоните, на все вопросы отвечу.",Центральное,,1,,"мкр. 12,15",,,Панельный,Вторичка,Железобетонные,Агентство недвижимости,1600000₽,4 из 9,https://samara.cian.ru/sale/flat/243655374/
1155,Нет,Центральное,2013,NA,20 м²,"1-комн. квартира, 30 м²",8 м²,,,30 м²,"В квартире хороший ремонт, в ванной плитка. Второй этаж, в квартире очень тёпло, не угловая. Окна выходят во двор. Продажа от собственника. Шкаф купе, шкаф в прихожей, и кухню оставлю. Любой вид продажи подходит.",Котел/Квартирное отопление,,4,,мкр. Крутые ключи,,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1630000₽,2 из 3,https://samara.cian.ru/sale/flat/244987557/
1156,Нет,Центральное,1967,NA,17 м²,"1-комн. квартира, 32,5 м²","5,5 м²",,,"32,5 м²","В шаговой доступности магазины, почта, поликлиника, школы, дет. садик, остановки общественного транспорта. Чистый подъезд, хороший двор с детской площадкой. Хорошие дружелюбные соседи. Квартира требует ремонта. Подходят любые формы оплаты.",Центральное,,5,,"мкр. 7,8",,,Панельный,Вторичка,Железобетонные,Агентство недвижимости,1600000₽,1 из 5,https://samara.cian.ru/sale/flat/229316760/
1157,,,,⋅  20 мин. пешком,15 м²,"1-комн. квартира, 36,84 м²",10 м²,Есть,,"36,84 м²","Жилой комплекс представляет собой 16-ти этажный двухсекционный многоквартирный жилой дом и располагается в границах улиц: проспект Кирова и Льговский переулок. Отличная транспортная доступность любой точки города. Развитая инфраструктура: в шаговой доступности находятся медицинские учреждения, торговые комплексы, детские сады, школы, ВУЗы Юридический институт ФСИН России, Технологический колледж им. Н.Д.Кузнецова, спортивные клубы, зоны отдыха. В новом комплексе предлагаются самые востребованные форматы доступного жилья: квартиры-студии, 1-, 2-комнатные квартиры площадью от 18 до 60 м2. Квартиры сдаются с качественной черновой отделкой, установленными пластиковыми стеклопакетами балкон с остеклением. Уделяется должное внимание инфраструктуре двора и благоустройству. Предусмотрены безопасные детские площадки, парковка и спуски для людей с ограниченными возможностями.",,,,,мкр. Юнгородок,,,Монолитный,Вторичка,,Агентство недвижимости,1629986₽,13 из 16,https://samara.cian.ru/sale/flat/244724663/
1158,,,,NA,"15,1 м²","1-комн. квартира, 37,86 м²","8,1 м²",,,"37,86 м²","Продаю однокомнатную квартиру,в строящемся ЖК ""Новая Самара"". Квартира в черновой отделке,от застройщика. При покупке сохраняются все акции от застройщика.Черновая отделка включает в себя:внутреннее утепление наружных конструкций пенополиуретаном штукатурка капитальных наружных стен электропроводка ввод в квартиру со счетчиком без разводки стояки канализации, горячего и холодного водоснабжения система отопления застекленные пластиковые оконные блоки деревянная входная дверь временная электрический счетчик газовый счетчик гидроизоляция санузлов. Варианты оплаты: ипотека,рассрочка,материнский капитал.",,,,,мкр. Мехзавод,3 кв. 2021,,,Новостройка,,Агентство недвижимости,1641000₽,2 из 10,https://samara.cian.ru/sale/flat/245976470/
1159,Нет,Центральное,1987,NA,"13,4 м²","1-комн. квартира, 30 м²","8,5 м²",Есть,,30 м²,"Продается теплая 1-комнатная квартира. Квартира уютная в хорошем состоянии, не угловая, окна ПВХ, балкон застеклен, входная дверь металлическая. Частично остается мебель и техника. Чистый, ухоженный подъезд, хорошие соседи. Двор с детской площадкой. Рядом остановки общественного транспорта. Рассмотрим любой вид оплаты.",Центральное,,1,,мкр. Юнгородок,,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1600000₽,4 из 9,https://samara.cian.ru/sale/flat/230394280/
1160,Нет,,,NA,14 м²,"1-комн. квартира, 43 м²",17 м²,,,43 м²,"Однокомнатная квартира в ЖК Жигулевская долина. Дом сдан. В квартире установлены трубы отопления, двухконтурный котел, разведены с/т трубы, стяжка пола. Окна ПВХ. Возможна ипотека, сертификаты. Продажа от юридического лица, возможна льготная ипотека под 6%.",,,,,мкр. Управленческий,,,,Вторичка,,Агентство недвижимости,1600000₽,2 из 3,https://samara.cian.ru/sale/flat/228867399/
1161,Нет,Центральное,1960,NA,20 м²,"1-комн. квартира, 30,4 м²",6 м²,,,"30,4 м²","Продам 1 комнатную квартиру. Рядом парк с озером, поликлиника, детские сады, школы, хорошая транспортная развязка. В доме был капитальный ремонт: заменены все батареи, стояки и трубы, окна ПВХ, новая плита и газовая колонка. Долгов по квартплате нет, один взрослый собственник, в квартире никто не прописан. Возможны использование материнского капитала и ипотеки.",Центральное,,4,,мкр. Металлург,,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1600000₽,5 из 5,https://samara.cian.ru/sale/flat/237719311/
1162,Нет,Центральное,1972,NA,18 м²,"1-комн. квартира, 31 м²",6 м²,,,31 м²,"Красноглинский район. П.Управленческий. Квартира в хорошем состоянии. Мебель остается. Этаж высокий. В шаговой доступности находится школа,детский сад,остановка. Один взрослый собственник.",Центральное,,4,,мкр. Управленческий,,,Панельный,Вторичка,Деревянные,Агентство недвижимости,1640000₽,1 из 5,https://samara.cian.ru/sale/flat/243520636/
1163,Нет,Центральное,1985,NA,"13,6 м²","1-комн. квартира, 27,3 м²","8,3 м²",Есть,,"27,3 м²","Внимание! Продается удобная в планировке однокомнатная квартира с большой кухней и выходом из нее на балкон, жилая комната средних размеров. Объекты инфраструктуры и остановки в шаговой доступности. Разумный торг реальным покупателям.",Центральное,,1,,мкр. Юнгородок,,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1600000₽,3 из 9,https://samara.cian.ru/sale/flat/238880148/
1164,Нет,Центральное,1975,NA,16 м²,"1-комн. квартира, 22,2 м²",4 м²,Есть,,"22,2 м²","Продаётся однокомнатная квартира в Кировском районе. Состояние жилое, есть балкон. В санузле панели, балкон застеклён, новый счётчик на электричество внутри квартиры, заменена сантехника. Один взрослый собственник, звоните",Центральное,,1,,"мкр. 12,15",,,Панельный,Вторичка,Железобетонные,Агентство недвижимости,1645000₽,4 из 9,https://samara.cian.ru/sale/flat/239769319/
1165,,,,NA,"16,7 м²","1-комн. квартира, 38,3 м²",9 м²,,,"38,3 м²","Продается уютная квартира в Шведской слободе. Хорошая планировка, просторный санузел, большая кухня, застекленный балкон. Прекрасный вид, свежий воздух. Рядом лес, ТЦ Мега. Много места для парковки а/м.",,,,,"Московское шоссе, 24-й км",,,Кирпичный,Вторичка,,Агентство недвижимости,1600000₽,4 из 4,https://samara.cian.ru/sale/flat/241232152/
1166,Нет,,,NA,16 м²,"1-комн. квартира, 30 м²",9 м²,Есть,,30 м²,"Отличная однокомнатная квартира с качественным ремонтом от собственника. Уютное, тихое.теплое гнездышко. Балкон застеклен и утеплен качественным пластиком ,надежные решетки, под окнами огромные кусты сирени.Много мебели и техники остается в подарок.Установлены счетчики В микрорайоне проложены новые дороги ,в том числе, к дому и вокруг дома, построены новые детские площадки, много парковочных мест. Школы , детский сад, поликлиника, сбербанк, крупные магазины в шаговой доступности. Есть возможность заселится сразу после покупки, документы в порядке, долгов нет. Оказываем помощь в одобрении ипотеки.",,,,,мкр. Мехзавод,,,,Вторичка,,Агентство недвижимости,1600000₽,1 из 9,https://samara.cian.ru/sale/flat/241436970/
1167,Нет,Центральное,1978,NA,13 м²,"1-комн. квартира, 22 м²",5 м²,Есть,Нет,22 м²,"Продаётся светлая ,чистая и уютная 1 комнатная квартира .Рядом магазины, детские сады ,школы, парк Дружбы, ТЦ  Космопорт  .Хорошая транспортная развязка в шаговой доступности метро Советское .Бесплатное юридическое сопровождение.",Центральное,,1,1978,ул. Дыбенко,,,Кирпичный,Вторичка,Железобетонные,Агентство недвижимости,1600000₽,5 из 9,https://samara.cian.ru/sale/flat/245578451/
1168,Нет,Центральное,2014,NA,"17,5 м²","1-комн. квартира, 35,1 м²",11 м²,,,"35,1 м²","Светлая, уютная, просторная квартира в мкр.Крутые ключи города Самары. Общая площадь - 35,1 кв.м, жилая - 17,5 кв.м., кухня - 11 кв.м., с/у совм. Ремонт: пол кухня и комната - ламинат, коридор - плитка, с/у в плитке. Тихий, спокойный двор. Рядом детский сад, ТЦ Мега, ТЦ ИКЕА. Документы готовы. В собственности более 5-ти лет.",Котел/Квартирное отопление,,4,2014,мкр. Крутые ключи,,,Кирпичный,Вторичка,Железобетонные,,1600000₽,2 из 3,https://samara.cian.ru/sale/flat/243437985/
